ID primera_version nota1 nota2 nota3 nota4 notajurado1 nota1 nota2 nota3 nota4 notajurado2 notatotalinicial notafinal
000-144-028 14.00 13.00 13.00 14.00 14.00 13.45 14.00 14.00 14.00 14.00 14.00 13.81 14.00
000-146-165 13.00 12.00 12.00 12.00 12.00 12.00 16.00 14.00 14.00 13.00 14.30 13.11 13.00
000-144-609 15.00 15.00 16.00 15.00 16.00 15.45 17.00 17.00 17.00 17.00 17.00 15.86 16.00
000-167-938 12.00 12.00 13.00 11.00 14.00 12.20 12.00 12.00 12.00 12.00 12.00 12.07 12.00
000-141-925 15.00 17.00 17.00 17.00 17.00 17.00 15.00 15.00 15.00 15.00 15.00 15.70 16.00
000-179-374 15.00 17.00 17.00 17.00 17.00 17.00 18.00 18.00 18.00 18.00 18.00 16.75 17.00
000-167-913 15.00 14.00 14.00 15.00 14.00 14.35 17.00 17.00 17.00 17.00 17.00 15.47 15.00
000-152-045 14.00 15.00 15.00 14.00 14.00 14.55 14.00 13.00 14.00 14.00 13.65 14.07 14.00
000-136-386 11.00 13.00 15.00 13.00 15.00 13.90 13.00 14.00 14.00 14.00 13.80 13.00 13.00
000-178-280 15.00 15.00 15.00 15.00 15.00 15.00 17.00 09.00 09.00 16.00 11.30 13.71 14.00
000-152-102 14.00 14.00 13.00 13.00 14.00 13.30 14.00 13.00 13.00 13.00 13.20 13.48 13.00
000-178-387 13.00 14.00 14.00 14.00 14.00 14.00 11.00 13.00 13.00 13.00 12.60 13.21 13.00
000-143-450 15.00 15.00 15.00 15.00 15.00 15.00 17.00 17.00 17.00 17.00 17.00 15.70 16.00
000-179-948 14.00 16.00 16.00 16.00 16.00 16.00 17.00 17.00 17.00 16.00 16.90 15.72 16.00
000-178-757 13.00 14.00 14.00 14.00 14.00 14.00 11.00 13.00 13.00 13.00 12.60 13.21 13.00
000-151-994 14.00 14.00 15.00 15.00 14.00 14.70 14.00 12.00 12.00 14.00 12.60 13.76 14.00
000-178-533 16.00 16.00 16.00 16.00 17.00 16.10 14.00 13.00 13.00 18.00 13.70 15.23 15.00
000-151-671 16.00 16.00 16.00 16.00 16.00 16.00 14.00 14.00 12.00 16.00 13.50 15.13 15.00
000-152-991 14.00 15.00 15.00 15.00 15.00 15.00 14.00 14.00 14.00 14.00 14.00 14.35 14.00
000-178-647 16.00 16.00 16.00 15.00 17.00 15.75 15.00 16.00 15.00 15.00 15.35 15.69 16.00
000-146-149 13.00 14.00 14.00 14.00 14.00 14.00 14.00 14.00 12.00 12.00 13.10 13.39 13.00
000-151-641 14.00 14.00 13.00 13.00 14.00 13.30 14.00 13.00 13.00 13.00 13.20 13.48 13.00
000-178-650 12.00 14.00 14.00 13.00 15.00 13.75 13.00 15.00 12.00 13.00 13.35 13.09 13.00
000-154-488 13.00 16.00 14.00 15.00 15.00 14.85 14.00 14.00 14.00 14.00 14.00 14.00 14.00
000-178-495 14.00 14.00 14.00 14.00 13.00 13.90 14.00 15.00 15.00 16.00 14.90 14.28 14.00
000-126-141 13.00 14.00 14.00 14.00 14.00 14.00 14.00 14.00 13.00 13.00 13.55 13.54 14.00
000-153-108 16.00 15.00 16.00 16.00 15.00 15.70 16.00 16.00 16.00 16.00 16.00 15.90 16.00
000-180-027 14.00 14.00 15.00 15.00 14.00 14.70 14.00 12.00 12.00 14.00 12.60 13.76 14.00
000-154-549 14.00 14.00 14.00 14.00 14.00 14.00 18.00 18.00 18.00 18.00 18.00 15.40 15.00
000-151-663 11.00 14.00 14.00 14.00 14.00 14.00 13.00 12.00 12.00 13.00 12.30 12.51 13.00
000-154-515 11.00 12.00 12.00 12.00 12.00 12.00 12.00 12.00 12.00 12.00 12.00 11.70 12.00
000-179-008 15.00 16.00 15.00 13.00 14.00 14.40 14.00 15.00 14.00 14.00 14.35 14.56 15.00
000-152-020 16.00 17.00 17.00 17.00 17.00 17.00 15.00 15.00 15.00 16.00 15.10 16.04 16.00
000-184-885 13.00 14.00 14.00 14.00 14.00 14.00 14.00 15.00 14.00 15.00 14.45 13.86 14.00
